"DateTime","Temperature","Dew Point","Relative Humidity"
"2024-01-31 16:53:00",41,26.78,57.03
"2024-01-31 17:53:00",39.92,29.89,67.43
"2024-01-31 18:53:00",39.92,28.8,64.52
"2024-01-31 19:53:00",39.92,28.8,64.52
"2024-01-31 20:53:00",39.92,27.88,62.18
"2024-01-31 21:53:00",42.08,27.86,57.19
"2024-01-31 22:53:00",42.08,27.86,57.19
"2024-01-31 23:53:00",41,27.88,59.62
"2024-02-01 00:53:00",39.92,28.8,64.52
"2024-02-01 01:53:00",37.04,30.83,78.29
"2024-02-01 02:53:00",39.02,30.81,72.44
"2024-02-01 03:53:00",37.04,31.93,81.79
"2024-02-01 04:53:00",35.06,31.95,88.46
"2024-02-01 05:53:00",33.08,30.88,91.65
"2024-02-01 06:53:00",33.08,30.88,91.65
"2024-02-01 07:53:00",32,30.9,95.72
"2024-02-01 08:53:00",32,29.98,92.28
"2024-02-01 09:53:00",32,29.98,92.28
"2024-02-01 10:53:00",33.08,29.97,88.36
"2024-02-01 11:53:00",33.98,29.97,85.23
"2024-02-01 12:53:00",32,29.98,92.28
"2024-02-01 13:53:00",35.06,27.93,75.28
"2024-02-01 14:53:00",33.98,27.95,78.59
"2024-02-01 15:53:00",33.98,26.85,75.17
"2024-02-01 16:53:00",30.92,27.99,88.9
"2024-02-01 17:53:00",30.02,28,92.22
"2024-02-01 18:53:00",30.92,27.99,88.9
"2024-02-01 19:53:00",30.92,26.89,85.03
"2024-02-01 20:53:00",30.02,26.91,88.2
"2024-02-01 21:53:00",30.02,24.89,81.24
"2024-02-01 22:53:00",28.94,24.91,84.9
"2024-02-01 23:53:00",28.04,26.02,92.15
"2024-02-02 00:53:00",30.02,22.89,74.77
"2024-02-02 01:53:00",28.94,22.91,78.14
"2024-02-02 02:53:00",28.94,22.91,78.14
"2024-02-02 03:53:00",28.04,22.91,81.08
"2024-02-02 04:53:00",28.94,24.01,81.77
"2024-02-02 05:53:00",28.94,24.91,84.9
"2024-02-02 06:53:00",28.04,26.02,92.15
"2024-02-02 07:53:00",28.94,24.01,81.77
"2024-02-02 08:53:00",28.94,26.01,88.8
"2024-02-02 09:53:00",30.92,22.87,72.08
"2024-02-02 10:53:00",30.02,25.99,84.97
"2024-02-02 11:53:00",32,23.95,72.2
"2024-02-02 12:53:00",30.92,26.89,85.03
"2024-02-02 13:53:00",30.02,25.99,84.97
"2024-02-02 14:53:00",28.04,24.93,88.1
"2024-02-02 15:53:00",28.04,21.81,77.47
"2024-02-02 16:53:00",28.04,20.91,74.56
"2024-02-02 17:53:00",26.96,21.83,80.99
"2024-02-02 18:53:00",26.96,18.91,71.64
"2024-02-02 19:53:00",24.08,21.88,91.3
"2024-02-02 20:53:00",24.98,17.83,74.24
"2024-02-02 21:53:00",24.98,15.84,68.13
"2024-02-02 22:53:00",24.08,16.95,74.15
"2024-02-02 23:53:00",24.08,14.94,68.02
"2024-02-03 00:53:00",21.92,14.97,74.5
"2024-02-03 01:53:00",19.94,14.99,81.05
"2024-02-03 02:53:00",19.94,15.91,84.29
"2024-02-03 03:53:00",23,16.95,77.59
"2024-02-03 04:53:00",21.92,17.89,84.43
"2024-02-03 05:53:00",21.02,17.91,87.72
"2024-02-03 06:53:00",24.08,15.85,70.75
"2024-02-03 07:53:00",19.04,15.01,84.23
"2024-02-03 08:53:00",21.02,16.99,84.37
"2024-02-03 09:53:00",26.06,17.83,70.98
"2024-02-03 10:53:00",26.06,20.93,80.92
"2024-02-03 14:53:00",32,15.76,51.08
"2024-02-03 15:53:00",32,15.76,51.08
"2024-02-03 16:53:00",30.02,18.88,63.18
"2024-02-03 17:53:00",28.04,20.91,74.56
"2024-02-03 18:53:00",26.06,20.93,80.92
"2024-02-03 19:53:00",26.96,19.83,74.45
"2024-02-03 20:53:00",26.96,20.93,77.96
"2024-02-03 21:53:00",26.96,20.93,77.96
"2024-02-03 22:53:00",26.96,20.93,77.96
"2024-02-03 23:53:00",26.96,20.93,77.96
"2024-02-04 00:53:00",26.06,22.95,87.99
"2024-02-04 01:53:00",26.06,21.85,84.07
"2024-02-04 02:53:00",26.06,22.95,87.99
"2024-02-04 03:53:00",26.06,22.95,87.99
"2024-02-04 04:53:00",26.06,24.04,92.07
"2024-02-04 05:53:00",26.06,24.04,92.07
"2024-02-04 06:53:00",26.06,24.04,92.07
"2024-02-04 07:53:00",26.06,24.04,92.07
"2024-02-04 08:53:00",28.04,24.93,88.1
"2024-02-04 09:53:00",28.04,26.02,92.15
"2024-02-04 10:53:00",30.02,28,92.22
"2024-02-04 11:53:00",32,30.9,95.72
"2024-02-04 12:53:00",33.08,30.88,91.65
"2024-02-04 13:53:00",35.96,30.85,81.7
"2024-02-04 14:53:00",35.06,31.95,88.46
"2024-02-04 15:53:00",33.98,30.87,88.4
"2024-02-04 16:53:00",35.96,29.93,78.77
"2024-02-04 17:53:00",37.04,27.91,69.6
"2024-02-04 18:53:00",35.96,28.83,75.37
"2024-02-04 19:53:00",37.04,26.82,66.57
"2024-02-04 20:53:00",37.04,26.82,66.57
"2024-02-04 21:53:00",35.96,23.92,61.63
"2024-02-04 22:53:00",35.06,25.93,69.37
"2024-02-04 23:53:00",33.98,27.95,78.59
"2024-02-05 00:53:00",33.98,26.85,75.17
"2024-02-05 01:53:00",33.98,26.85,75.17
"2024-02-05 02:53:00",33.98,25.93,72.42
"2024-02-05 03:53:00",32,26.89,81.4
"2024-02-05 04:53:00",32,25.97,78.42
"2024-02-05 05:53:00",30.02,26.91,88.2
"2024-02-05 06:53:00",32,22.86,69
"2024-02-05 07:53:00",33.08,22.86,66.06
"2024-02-05 08:53:00",35.96,21.74,56.27
"2024-02-05 09:53:00",35.06,21.74,58.32
"2024-02-05 10:53:00",35.96,21.74,56.27
"2024-02-05 11:53:00",35.06,21.74,58.32
"2024-02-05 12:53:00",35.96,22.82,58.89
"2024-02-05 13:53:00",32,26.89,81.4
"2024-02-05 14:53:00",30.92,27.99,88.9
"2024-02-05 15:53:00",33.08,25.95,75.08
"2024-02-05 16:53:00",32,25.97,78.42
"2024-02-05 17:53:00",30.02,28.92,95.68
"2024-02-05 18:53:00",28.04,26.94,95.65
"2024-02-05 19:53:00",28.04,26.02,92.15
"2024-02-05 20:53:00",28.04,26.02,92.15
"2024-02-05 21:53:00",28.94,26.92,92.18
"2024-02-05 22:53:00",28.04,26.94,95.65
"2024-02-05 23:53:00",28.94,26.92,92.18
"2024-02-06 00:53:00",28.04,26.94,95.65
"2024-02-06 01:53:00",26.06,24.96,95.61
"2024-02-06 02:53:00",28.04,26.02,92.15
"2024-02-06 03:53:00",26.06,24.04,92.07
"2024-02-06 04:53:00",28.04,26.02,92.15
"2024-02-06 05:53:00",26.96,24.94,92.11
"2024-02-06 06:53:00",26.06,24.04,92.07
"2024-02-06 07:53:00",24.98,24.06,96.31
"2024-02-06 08:53:00",26.96,24.94,92.11
"2024-02-06 09:53:00",28.94,24.91,84.9
"2024-02-06 10:53:00",33.08,24.85,71.78
"2024-02-06 11:53:00",35.06,25.93,69.37
"2024-02-06 12:53:00",33.98,27.95,78.59
"2024-02-06 13:53:00",33.98,26.85,75.17
"2024-02-06 14:53:00",33.08,24.85,71.78
"2024-02-06 15:53:00",32,26.89,81.4
"2024-02-06 16:53:00",28.94,26.01,88.8
"2024-02-06 17:53:00",26.06,24.04,92.07
"2024-02-06 18:53:00",26.96,24.94,92.11
"2024-02-06 19:53:00",26.06,24.04,92.07
"2024-02-06 20:53:00",23,20.98,91.96
"2024-02-06 21:53:00",24.08,20.97,87.88
"2024-02-06 22:53:00",21.92,18.99,88.45
"2024-02-06 23:53:00",19.94,17.01,88.34
"2024-02-07 00:53:00",17.06,15.04,91.74
"2024-02-07 01:53:00",17.06,13.95,87.49
"2024-02-07 02:53:00",19.04,15.93,87.61
"2024-02-07 03:53:00",17.96,13.93,84.15
"2024-02-07 04:53:00",21.02,19,91.89
"2024-02-07 05:53:00",28.04,21.81,77.47
"2024-02-07 06:53:00",28.94,20.89,71.86
"2024-02-07 07:53:00",28.04,20.91,74.56
"2024-02-07 08:53:00",30.02,20.88,68.76
"2024-02-07 09:53:00",30.02,20.88,68.76
"2024-02-07 10:53:00",26.96,21.83,80.99
"2024-02-07 11:53:00",30.02,21.79,71.44
"2024-02-07 12:53:00",32,20.86,63.45
"2024-02-07 13:53:00",28.04,24.01,84.84
"2024-02-07 14:53:00",28.94,24.01,81.77
"2024-02-07 15:53:00",28.04,22.91,81.08
"2024-02-07 16:53:00",28.04,21.81,77.47
"2024-02-07 17:53:00",28.04,22.91,81.08
"2024-02-07 18:53:00",28.04,24.01,84.84
"2024-02-07 19:53:00",26.96,22.93,84.77
"2024-02-07 20:53:00",26.96,24.94,92.11
"2024-02-07 21:53:00",26.96,24.94,92.11
